Record Id,Product Owner.id,Product Owner,Product Name,Product Code,Vendor Name.id,Vendor Name,Product Active,Manufacturer,Product Category,Created By.id,Created By,Modified By.id,Modified By,Created Time,Modified Time,Unit Price,Commission Rate,Usage Unit,Qty Ordered,Quantity in Stock,Reorder Level,Handler.id,Handler,Quantity in Demand,Description,Tag,Inventory,Locked,Last Activity Time,Product Sub Category,Color/Finish,Ususal Price,Channel Price,OEM Price,TMS %,Deal Price,BOM MU Check,Ship Mode,Total Weight,Installation Mode,Product Type,CRM ID,Connected To.module,Connected To.id,Tax Rate
zcrm_4301492000001739132,zcrm_4301492000000425001,Ankita Singh,BLUEWUD Maltein Engineered Wood Single Diwan Day Bed with Storage Box for Kids Adult Bedroom Living Room Home Furniture (Brown Maple / 72 X 30 Mattress Size),B-MLT-D30TM-R1,zcrm_4301492000003548093,Bluewud India,True,Bluewud,Wardrobe,zcrm_4301492000000425001,Ankita Singh,zcrm_4301492000000425001,Ankita Singh,2020-12-19 16:35:15,2025-09-18 14:45:50,0.0,0.0,Box,0,0,0,zcrm_4301492000026904001,Bluewud CRM,0,"BLUEWUD Maltein Engineered Wood Single Diwan Day Bed with Storage Box for Kids, Adults, Bedroom, Living Room Home Furniture – DIY (Brown Maple / 72 x 30 Mattress Size) Bring style and functionality together with the BLUEWUD Maltein Single Diwan Day Bed, designed to add comfort and smart storage to your home. Perfect for kids’ or adults’ bedrooms, living rooms, or guest areas, this day bed features a spacious storage box underneath to neatly tuck away extra bedding, toys, or essentials. Crafted from premium engineered wood in an elegant Brown Maple finish, it blends seamlessly with modern interiors. Its 72 x 30 inch mattress size offers cozy seating or sleeping space. Comes in a DIY format with an easy-to-follow instruction manual for quick assembly.",,0.0,False,2025-09-18 14:45:50,Beds,Brown Maple,,,,,,,,,,,3961202000000703163,,,
zcrm_4301492000001761154,zcrm_4301492000000425001,Ankita Singh,"Wall Mount Key Box Cabinet/Stand with Locker for Home, Office & Shops.$",----,,,True,Bluewud,Hardware,zcrm_4301492000000425001,Ankita Singh,zcrm_4301492000000425001,Ankita Singh,2020-12-21 17:16:22,2025-09-18 14:45:50,0.0,,Quantity,0,999,0,,,0,Product Dimensions: Length ( 20  Inches) Breadth ( 20 Inches) Height ( 20.9 Inches).||Made of Particle Board (High grade prelam engineering wood with natural wood grain finish.)||Product Color: Wenge | Product Style:  Contemporary | Product Weight: 8 Kgs.||Product Warranty :: All of our products are made with care and covered for 1 year against manufacturing defects.,,,False,2025-09-18 14:45:50,,,,,,,,,,,,,3961202000000708135,,,
zcrm_4301492000001761218,zcrm_4301492000000425001,Ankita Singh,Torene Engineered Wood Wall Mount Key Box Cabinet$,---,,,True,Bluewud,Hardware,zcrm_4301492000000425001,Ankita Singh,zcrm_4301492000000425001,Ankita Singh,2020-12-21 17:16:22,2025-09-18 14:45:50,1499.0,,Quantity,0,1000,0,,,0,Product Dimensions :: Length ( 21 Cm) x Breadth ( 10 Cm) x Height( 15 Cm).||Product Material: Particle Board (Made of premium high grade prelam engineering wood with natural wood grain finish.)||Product Color: Wenge | Product Style: Contemporary | Type - Wall Mount||Product Warranty :: All of our products are made with care and covered for 1 year against manufacturing defects.,,,False,2025-09-18 14:45:50,,,,,,,,,,,,,3961202000000712135,,,
zcrm_4301492000001761221,zcrm_4301492000000425001,Ankita Singh,"BLUEWUD Kasvon Engineered Wood Coffee Center Sofa Tea/Teapoy Console Table with Metal Legs for Sofa Set Living Room Home Hall (Rectangle, Brown Maple)",CT-KV-RTM-Old,zcrm_4301492000003548093,Bluewud India,True,Bluewud,Furniture,zcrm_4301492000000425001,Ankita Singh,zcrm_4301492000000425001,Ankita Singh,2020-12-21 17:16:22,2025-09-18 14:45:50,0.0,0.0,Quantity,0,0,0,,,0,"BLUEWUD Kasvon Engineered Wood Coffee Table, a stylish and functional centerpiece for your living room. Crafted from premium engineered wood with a rich brown maple finish, this coffee table adds a touch of modern elegance to any home decor. The rectangular design offers ample surface space for serving tea, coffee, or snacks, while the integrated storage box beneath the tabletop provides a convenient solution for organizing magazines, remotes, or other living room essentials. Perfectly suited for placement in front of a sofa or as a centerpiece in your hall, the Kasvon Coffee Table combines practicality with contemporary design, making it a must-have addition to your home.",,0.0,False,2025-09-18 14:45:50,Coffee Tables,,,,,,,,,,,,3961202000000714147,,,
zcrm_4301492000015002006,zcrm_4301492000000244013,Abhinav Singh,Installation charge for TV Units$,Installation Charge,,,True,Bluewud,TV Unit,zcrm_4301492000000244013,Abhinav Singh,zcrm_4301492000039621001,Ayush Mani,2022-02-01 12:58:34,2025-11-13 16:58:08,350.0,,pcs,0,1,0,,,0,Installation charge for Rowlet,,,False,2025-09-18 14:45:50,,,,,,,,,,,,,3961202000000710163,,,
zcrm_4301492000015063001,zcrm_4301492000000244013,Abhinav Singh,Installation$,Installation,,,True,Bluewud,,zcrm_4301492000000244013,Abhinav Singh,zcrm_4301492000039621001,Ayush Mani,2022-02-02 13:18:32,2025-11-13 16:58:08,350.0,,Quantity,0,1,0,,,0,,,,False,2025-09-18 14:45:50,,,,,,,,,,,,,3961202000000709155,,,
zcrm_4301492000067815015,zcrm_4301492000066416001,Suraj Patel,Maltein King With storage Bed Brown Maple & Beige,B-MLT-KTMI,zcrm_4301492000003548093,Bluewud India,True,Bluewud,Bed,zcrm_4301492000066419001,Roshan Kumar,zcrm_4301492000000425001,Ankita Singh,2025-07-26 17:07:33,2025-09-19 11:38:48,25799.0,0.0,Box,0,0,0,,,0,,,,False,2025-09-19 11:38:48,,Brown Maple,16599.0,16082.0,0.0,0.0,0.0,,,26800.0,,Child,3961202000000707167,,,
zcrm_4301492000067815023,zcrm_4301492000066416001,Suraj Patel,Maltein Queen With storage Bed Brown Maple & Beige,B-MLT-QTMI,zcrm_4301492000003548093,Bluewud India,True,Bluewud,Bed,zcrm_4301492000066419001,Roshan Kumar,zcrm_4301492000000425001,Ankita Singh,2025-07-26 17:09:05,2025-09-19 11:38:48,23599.0,0.0,Box,0,0,0,,,0,,,,False,2025-09-19 11:38:48,,Brown Maple,15999.0,14840.0,0.0,0.0,0.0,,,25770.0,,Child,3961202000000715151,,,
zcrm_4301492000067815031,zcrm_4301492000066416001,Suraj Patel,Pollo King with Storage Bed Wenge,B-POL-KTFW,zcrm_4301492000003548093,Bluewud India,True,Bluewud,Bed,zcrm_4301492000066419001,Roshan Kumar,zcrm_4301492000000425001,Ankita Singh,2025-07-26 17:10:25,2025-09-19 11:38:48,28599.0,0.0,Box,0,0,0,,,0,,,,False,2025-09-19 11:38:48,,Wenge,16899.0,16636.0,0.0,0.0,0.0,,,34800.0,,Child,3961202000000713199,,,
zcrm_4301492000067815039,zcrm_4301492000066416001,Suraj Patel,Pollo Queen with Storage Bed Wenge,B-POL-QTFW,zcrm_4301492000003548093,Bluewud India,True,Bluewud,Bed,zcrm_4301492000066419001,Roshan Kumar,zcrm_4301492000000425001,Ankita Singh,2025-07-26 17:11:59,2025-09-19 11:38:48,24999.0,0.0,Box,0,0,0,,,0,,,,False,2025-09-19 11:38:48,,Wenge,14999.0,14573.0,0.0,0.0,0.0,,,34290.0,,Child,3961202000000710159,,,
